text,HATE,NOT,OFFN,PRFN,Race,Religion,Gender,Other,None,subtask1
the most disrespectful thing you can do is call your female another bitch name,0,0,1,1,0,0,1,0,0,OFFN
side note how tf i spell from as grime i swear i m retarded,0,0,1,1,0,0,0,0,1,OFFN
vice promoting violence and acceptable racism an uzi mm lmfao if you are going to go for a ghetto gun why not an ak pistol at least that x morons all the way around but what else is expected here,0,0,1,1,1,0,0,0,0,OFFN
miley cyrus psycho phase get it bitch,0,1,0,1,0,0,0,0,1,NOT
lmao for a minute i thought he just did it since he been shadowing trump continually this muslim traitor leader of ofa is very active if not out in the open in the background,0,1,0,1,0,1,0,0,0,NOT
i speak the way i speak because fuck you if you do not like it talk to the barrel of my gun communist loser afraid of the jews,1,0,0,1,0,1,0,0,0,HATE
trump saying we will support resettling refugees in their own region safe responsible and humanitarian approach yes un,0,1,0,1,0,0,0,1,0,NOT
that right jd glad i triggered you what to be ashamed of you know what terfs are you are trans how many of your nazi bfs know what terfs are just you bc you are trans,0,0,1,1,0,0,0,1,0,OFFN
we are going to kill jews unequivocally and force them breed with niggers and sand niggers and spics,1,0,0,1,1,1,0,0,0,HATE
my ching chong is so cutie,1,0,0,1,1,0,0,0,0,HATE
the lord of the old testament is organized jewry they have been doing what they are doing to europe and the usa since babylonian times for jews its been years of perfecting infiltration and instigating division among their victims,1,0,0,1,0,1,0,0,0,HATE
when i was a child i was supposed to die in a nuclear holocaust,0,1,0,1,0,0,0,0,1,NOT
real nigger me please,0,1,0,1,1,0,0,0,0,NOT
the retard restarted the game,0,0,1,1,0,0,0,0,1,OFFN
chinaman satanist lee hsien loong biggest cowards criminals keep on chattering audibly in wellington circle singapore he is arranging the biggest racial violence the world has ever seen drug addicts pseudo terrorists might be employed talks of uk citizens now,0,0,1,1,1,0,0,0,0,OFFN
you are obviously stupid so you would not understand if you truly believe physical force is justified at this time why are not you shooting blacks or mexicans in the ghetto you do not really believe in what you are saying cuck,0,0,1,1,1,0,0,0,0,OFFN
walking along the road i realised how dirty pakis are of them spitting on the floor dirty bastards i thought and i bet their husbands are just as bad,1,0,0,1,0,0,0,0,0,HATE
one of you faggots did not like my jew support i want you to call me out you pussy you a man or a mouse i will take a real man i will not take a mouse i will load my gun you are sounding like a faggot muzzie,1,0,0,1,0,0,1,0,0,HATE
damn you would have thought there would have been at least one white person in these mug shots lol,0,1,0,1,0,0,0,0,1,NOT
racist nigger anti racism strategist tariq nasheed calls his mostly white wife a becky and calls a native american a indian but niggers claim they can not be racist,1,0,0,1,1,0,0,0,0,HATE
why do women shower so much after being raped to get rid of the smell of fried chicken,1,0,0,1,1,0,0,0,0,HATE
i m a alright i am about to let you have that kind of bitch i m not arguing with nobody,0,1,0,1,0,0,0,0,1,NOT
and some kike loving people with degrees who are fucking delusional,0,0,1,1,0,1,0,0,0,OFFN
did god actually turn into trailer trash preacher,0,0,1,0,1,0,0,0,0,OFFN
thank you white person for telling me that i should not get upset about people making excuses for why a black man was murdered bless your heart,0,1,0,1,0,0,0,0,1,NOT
it just the way you called her a dry ass white bitch it so funnyajjsjdhdh,0,1,0,1,0,0,0,0,1,NOT
turns down the saturation on the gay flag k retweets,0,1,0,1,0,0,0,0,1,NOT
i only spick three hwordz av eengleech an dey re go home butch,0,1,0,1,0,0,0,0,1,NOT
reminder that google is run by jews,0,1,0,0,0,1,0,0,0,NOT
disagree peoples of all colors have raped and pillaged one another since we figured out that someone else has better beer and hotter babes the problem today is that people in some countries are too peaceful to understand the violence that awaits them over the border,0,1,0,1,0,0,0,1,0,NOT
sitting in this hot ass classroom ghetto af,0,0,1,1,0,0,0,0,1,OFFN
knowing historical facts is now an example of white supremacy,0,1,0,0,0,0,0,0,1,NOT
my ex has a weird infatuation w dykes,0,0,1,1,0,0,1,0,0,OFFN
it disgusting how i see blacks treat their animals out here in newark these ghetto people are so hypocritical first to complain about how they are treated by white which is completely bullshit then beat their kids and dogs until they die,1,0,0,1,1,0,0,0,0,HATE
lol he quotes the kike ayan rand yeah ok this guy lost his marbles long ago,1,0,0,1,0,1,0,0,0,HATE
inghimasi someone who infiltrates enemy line without being detected and fights them from within the literal translation is the immersed which corresponds to surrounded all over wrong use of the word jihadi on your part here,0,1,0,1,0,0,0,0,1,NOT
she highkey seems to be one of those deluded sjw liberal muslims lol,0,1,0,1,0,0,0,0,0,NOT
let the snow flakes cry bitch and scream it judgement day and time normalize islamaphobia as a healthy condition piss on political correctness and then deport every single last sand nigger savage,1,0,0,1,1,1,0,0,0,HATE
catch a nigger by his toe stop him raping an underage how,1,0,0,1,1,0,0,0,0,HATE
how did this retard get a k gab score does it even know how to engrish,0,0,1,1,0,0,0,1,0,OFFN
um but you do realize that jesus was a kike and that christianity was originally another like cult right,1,0,0,1,0,1,0,0,0,HATE
nat geo trying to blame radical islam on anything but islam and the show is less than a minute in,0,0,1,1,0,1,0,0,0,OFFN
finally a woman that is class and not a white trashy one like those sisters we are sick of seeing,0,0,1,1,1,0,0,0,0,OFFN
hignfy shoe horned corbyn bashing in with made up breaking news,0,1,0,1,0,0,0,0,1,NOT
my dad is a faggot for buying this camry i am going to make false rape allegations on him,0,1,0,1,0,0,0,0,1,NOT
bitches love saying he will never leave me alone you are not special bitch a nigga will never close a door that leads to pussy,0,0,1,1,0,0,1,0,0,OFFN
you mean the conservative saint ronald reagan gave amnesty to a million mexicans another chink in his armor,0,1,0,1,0,0,0,0,1,NOT
should be a new wing to this movement giving back to disenfranchised whites helping the vets old young community planting trees its non confrontational and men women can participate also does not give lefties something to target winning hearts and minds is the key to all of this,0,1,0,1,0,0,0,0,1,NOT
i really really fucking hate you,0,1,0,1,0,0,0,0,1,NOT
most of their jokes revolve around the concept of finding new ways to detail a fictitious account of each others mother prostitute life who is a faggot and who is weak if he not willing to join in,0,1,0,1,0,0,1,0,0,NOT
bad bitch she conceited,0,0,1,1,0,0,1,0,0,OFFN
nigeer bastardo como freeman los judios le prestaron apellido de esclavo sus abuelos son mierda morgan kike freeman,1,0,0,1,1,0,0,0,0,HATE
do you honestly think it even remotely possible to vaccinate everyone what about homeless people and illegal immigrants that are not on the books,0,1,0,1,0,0,0,1,0,NOT
you retarded asl,0,1,0,1,0,0,0,0,1,NOT
nigga you ain t neva hit no foreign wit no white bitch,0,0,1,1,1,0,1,0,0,OFFN
pan you cheater you are no newfag you are an expert on bloated kike identification,1,0,0,1,0,1,0,0,0,HATE
stop being lazy and write some real jokes instead of just saying paging doctor faggot lol he said a slur therefore its funny,0,1,0,1,0,0,1,0,0,NOT
soon men and women will not be touching each other they will be segregated like in muslim countries,0,1,0,1,0,1,1,0,0,NOT
lol white people who hate cops but do not live in the ghetto amuse me so much every one of you all acab black flag niggas shi look like a bag of mayo with blue veins running thru it,0,1,0,1,0,0,0,0,1,NOT
also about how she like raped the principal in season,0,1,0,1,0,0,0,0,1,NOT
arab refugees the jews are fucking arabs,1,0,0,1,1,1,0,0,0,HATE
good reasons why not to mudshark,0,0,1,0,1,0,1,0,0,OFFN
with whose money minister playing political points with refugees there is no deodorant for desperation,0,1,0,1,0,0,0,1,0,NOT
and she a fucking raghead moslem intentional spelling,1,0,0,1,1,1,0,0,0,HATE
twatter does not like muzrat either,1,0,0,1,0,1,0,0,0,HATE
whites and asians have developed the frontal lobes needed for collaboration due to harsh conditions unkown to our hominid ancestors blacks have yet to evolve such traits because of evolving in conditions identical to prehuman ancestors,1,0,0,1,1,0,0,0,0,HATE
call i wanted to overhear today hill this is barry look i told million illegal immigrants i would not prosecute them for voting you still could not pull it off oh hey could you send me the name of that guy who set up your foundation thanks hillary trump presidenttrump speakfreely,0,0,1,1,0,0,0,1,0,OFFN
sensitive people ruined the reputation of direct confrontation now you are a thug or a ghetto bastard for doing so,0,0,1,1,0,0,0,0,1,OFFN
i am starting to think trump is our hitler and if you actually know what i mean when i say that you are smart if you think i am saying he literally hitler you are retarded and can not make out what i am saying,0,0,1,1,0,0,0,1,0,OFFN
my heart is saying kill them all light this bitch up,1,0,0,1,0,0,1,0,0,HATE
makes sense thernovith would sell out on beaner invasion in a second to sell spanish copies of gorilla mindset anyways if he somehow managed to gain power lol when it comes down to it alt lite fags are just gayer leftists,1,0,0,1,1,0,1,0,0,HATE
a moslem ban from the beginning would have been better,0,1,0,0,0,0,0,0,1,NOT
lol i lost i can not come up with a better insult than faggot,1,0,0,1,0,0,1,0,0,HATE
ho keep sayin in the1 dior on my bitch and flood myself in saint laurent,0,1,0,1,0,0,0,0,1,NOT
i think a lot of people would care to know he said black women should be beaten and raped lots and lots and lots just needs to get out there,0,1,0,1,0,0,0,0,1,NOT
i long for the days where faggots who tried to erect some satanic statue would have been shot on the spot,1,0,0,1,0,0,1,0,0,HATE
you mean like on the cosby show the make believe kind or maybe a few around dc what we have created a make believe black midge class via gov make work jobs do not know do know it a hell of a lot easier to find a negro ghetto than a white one,0,0,1,1,1,0,0,0,0,OFFN
well here we go amy schumer is set to play barbie in the feature film welcome to america where women are encouraged to be fat ugly single and childless,1,0,0,1,0,0,1,0,0,HATE
that foolish fifth hokage or whoever,0,1,0,1,0,0,0,0,1,NOT
ah i see the mozzie savages have brought us back to the middle ges chastity belts coming back in style,1,0,0,1,0,1,0,0,0,HATE
hussein obama wasn t interested in biden or ukraine he was busy importing almost a million african fellow moslems not refugees into the us to spread islam we now have dearborn mn omar talib and others thanks hussein,1,0,0,0,0,1,0,0,0,HATE
bitches w big tits and no ass built like an improper fraction,0,0,1,1,0,0,1,0,0,OFFN
never tweeted that retard,0,0,1,1,0,0,0,0,1,OFFN
well if she wants sharia law she going to reignite the war of muslim law against america,0,1,0,1,0,1,0,0,0,NOT
islam and the nazi best friend,0,0,1,1,0,1,0,1,0,OFFN
women go broke and start telling niggas they pregnant so send some abortion money,0,1,0,1,0,0,0,0,1,NOT
the holohoax was so efficient the results actually horseshoed and created more jews than there were before or something,0,0,1,1,0,1,0,0,0,OFFN
hurr durr such savagery if our civilization dies out roaming negros rape women like the soviet army occupation of at least we will not have given into savagery hurr durr victorian england was so patriarchal and savage hurr durr these brown matriarchal people are so civilized,1,0,0,1,1,0,0,0,0,HATE
i mean i get that race exists but the qualifications are weird like we have caucasians that do not live in europe yet according to white supremacists here in the usa they are not classified as white,0,1,0,1,1,0,0,0,0,NOT
what the most popular wax figure in the world largest moslem country ban islam,0,0,1,0,0,1,0,0,0,OFFN
mr markle and cunt harry both nigger lovers,1,0,0,1,1,0,0,0,0,HATE
people should be able to recognize just how much we are at war when the criminally retarded are the only ones that have a voice this is what america stood as one and voted to end,0,0,1,1,0,0,0,1,0,OFFN
is robert deniro sniffing too many nigger farts from his black wife ass is dis why he talking shit on trump,0,0,1,1,1,0,0,0,0,OFFN
chile the ghetto they must have stole it coz they hate you i,0,0,1,0,0,0,0,0,1,OFFN
are you talking about sand niggers,1,0,0,1,1,0,0,0,0,HATE
the players can not say anything political in theory but no boundaries for the advertisers that add to coffers already filled with taxpayer funding a predominantly white fan base supports a black entertainment industry,0,0,1,0,0,0,0,0,1,OFFN
i am afraid issues such as the ill treatment of our military veterans farming of our elderly in foreign staffed care homes neglect of our homeless sacrifice of our children to muslim rape gangs widescale government corruption etc are so common place people no longer give a shit disgraceful,0,0,1,1,0,1,0,0,0,OFFN
i did not know drawings specifically designed for adults would hurt children if anything i am staying away from kids for sure it okay to admit that lolis are better than d women like you in every way and you feel inferior intimidated by it,0,0,1,0,0,0,1,0,0,OFFN
had dna white as a snow the way you write i see hominids smarts,0,0,1,1,0,0,0,0,0,OFFN
do not worry uk you worked hard can not afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker,1,0,0,1,0,1,0,0,0,HATE
evidence this with links and articles show me a greater number of violated females by white men than mass murdered genocides of females at the hands of muslims muslim men have killed far more females with their misogyny and genocides than white men,0,1,0,1,0,0,0,0,1,NOT
my nigga said he was delivering some shit to a store the arabic owner told him i will buy you i instantly thought about the libya slave situation and how arabs had slaves too but it often over looked,0,0,1,1,0,0,0,0,0,OFFN
do not worry sister we are also with our muslim brothers and sisters we will fight together,0,1,0,0,0,1,0,0,0,NOT
they can not even think for themselves probably got it word for word from that faggot john oliver either that or they are bots from jewgle,0,0,1,1,0,1,0,0,0,OFFN
multiple kinds of strengths modesty is one i lack you sorta have to though when i get called an ugly world destroying kike whore commenting that they have a valid point is probably unproductive,1,0,0,1,0,1,1,0,0,HATE
gays moslem,0,0,1,1,0,1,0,0,0,OFFN
when are trump and congress going to do something about fags and dykes shutting down christian bakeries maga,1,0,0,1,0,0,1,0,0,HATE
yeah but you faggots are all pedos does your alt hero save the day and get to rape the year old better tread lightly cunt or we will turn your fucking comics into ben one man auschwitz garrison style and make them more famous than you,1,0,0,1,0,0,1,0,0,HATE
deport all illegal aliens european settlers and immigrants built this nation and it belongs to their descendants not ungrateful illegal migrants,0,0,1,0,0,0,0,1,0,OFFN
the muslim tribal war is not between tribes it is between sects of islam that of course cross tribal lines for pete sake i would estimate that of all attacks are from sunni muslim against shias against sufis agnst all other sects it arabs who demand supremacy,0,0,1,1,0,1,0,0,0,OFFN
at great personal sacrifice i am willing to consume extra bacon if that is what it takes enfield we were discussing muslin immigration at the time,0,1,0,0,0,0,0,0,1,NOT
do not worry she will not die the christians are letting niggers into heaven,1,0,0,1,1,0,0,0,0,HATE
reagan did a lot of good but i hate to say it his amnesty of the first massive illegal beaner wave nullified all the good he did sure he may have spared the us a nuclear holocaust but he cursed it with a demographic hispanocaust,1,0,0,1,1,0,0,0,0,HATE
i find it interesting that they were given refugee status in turkey a safe country yet shipped over here,0,1,0,0,0,0,0,0,1,NOT
do not hate yourself for your physical appearance why the heck am i so ugly ughh,0,1,0,1,0,0,0,0,1,NOT
j pop stars k pop stars random fat girl most asians are horse faced plane janes with no body to speak off and buck teeth you can use to open beer bottles,0,0,1,1,1,0,0,0,0,OFFN
wow that nothing but plain facts no one is named no violence appears twitter just hates you and wants you dead or at least not speaking at all they truly are bad,0,1,0,0,0,0,0,0,1,NOT
no doubt we are still at war with the radical left their mudslime brotherhood terrorist buddies of course welcomed here by democrats same appeasers of nazi germany dcbarry imported them for a reason his civilian army antifa blm ows demoncraps pedophiles trannys goatfucker terrorists,1,0,0,1,0,1,0,0,0,HATE
nigga called him gay for being athletic lmfao,0,1,0,1,1,0,1,0,0,NOT
what about whitewater what about her sending goons to intimidate bill sexual harassment victims what about her defense of bill even though he has raped women,0,0,1,1,0,0,0,0,1,OFFN
duterte said he would sort out brighton you got to get the best to do the job do not care if you are chink paki nigga can you do the task,0,0,1,1,1,0,0,0,0,OFFN
it was then that gay retard world revealed itself to me,0,0,1,1,0,0,1,1,0,OFFN
white bitch pink pussy,0,0,1,1,1,0,1,0,0,OFFN
once you out a whistleblower you kill all whistleblowing dictators hate whistleblowers in some countries they still kill them there is no need for trump or anyone to interview him or her just examine the evidence donald is threatening him her donald a traitor,0,1,0,1,0,0,0,0,1,NOT
i won t hesitate bitch,0,1,0,1,0,0,1,0,0,NOT
a spic or a chink,1,0,0,1,1,0,0,0,0,HATE
trying my hand at drawing squirrelgirl i know it not the current canonical design i did not draw her as a mongoloid the rest of her will be revealed when it done,0,1,0,1,0,0,0,0,1,NOT
an honest moslem,0,1,0,1,0,0,0,0,1,NOT
again and again what i hear from mexican immigrants is that we need to do more for them their is moral outrage and entitlement in their voices as they want someone else to invent create or pay for something else for them,0,1,0,1,1,0,0,1,0,NOT
am telling you my queen this niggers can make you lose weight in less than a week,1,0,0,1,1,0,0,0,0,HATE
it ll probably be some fat negress in a nursing home anyways so fuck them both,1,0,0,1,1,0,0,0,0,HATE
when you hear that clergy sexually assault children remember that blacks are clergy too blacks have the highest rates of child sexual abuse,1,0,0,1,1,0,0,0,0,HATE
reminder that having asperger and being retarded or two entirely different things,0,0,1,1,0,0,0,0,1,OFFN
these hoes ain t shit bro you cute as hell,0,1,0,1,0,0,1,0,0,NOT
hiring a cleaning lady as a woman is ghetto debate your mom,0,0,1,0,0,0,0,0,1,OFFN
yes chuckster legal immigrants made america not the gimmes of today,0,0,1,0,0,0,0,1,0,OFFN
ok there white knight are you thirsty for her nigger cum drenched cunt,1,0,0,1,1,0,1,0,0,HATE
charles i also hauled them in to engineer the dykes and rhynes on the somerset levels,0,0,1,1,0,0,1,0,0,OFFN
that good now time to put some of the ignorant white want to be nazi in the terrorist watch as well,0,1,0,1,0,0,0,0,1,NOT
hello scum bag islam followers give me an arabic equivalent of the word guru no effing imam will not do they poison minds,0,0,1,1,1,1,0,0,0,OFFN
bunch of retards are voting,0,0,1,1,0,0,0,0,1,OFFN
that nothing alan partridge was,0,1,0,0,0,0,0,0,1,NOT
bitch b on dicks,0,0,1,1,0,0,1,0,0,OFFN
trump had more fat women walking in one day today than michelle obama was able to do in years educating liberals,0,0,1,1,0,0,1,0,0,OFFN
modern commercials are beyond retarded,0,0,1,1,0,0,0,0,1,OFFN
aragorn was an incompetent king and arwen actually ruled gondor sherlock holmes did not solve any crimes it was actually mrs carmichael the whole time hitler did not kill all those jews eva braun masterminded the whole thing,0,1,0,1,0,0,0,0,1,NOT
user dean writing soft gay shit since,0,0,1,1,0,0,1,0,0,OFFN
i do i do i love retarded conspiracies lol so damn fun,0,0,1,1,0,0,0,1,0,OFFN
fakebook just suspended me days for insulting rosie odonnell for calling trump mentally insane it was worth the days you are still a man hating fat dyke rosie lol,1,0,0,1,0,0,1,0,0,HATE
today debate on nrc those who are equating muslims with hindu immigrants from bangladesh must read nhrc definition of a refugee to remove their bias against rss bjp muslim persecutors can not b refugees coming from a muslim country,0,1,0,1,0,0,0,0,1,NOT
indeed ncaa football is as corrupt of as the nfl maybe half of the players in the ncaa are ghetto morons who lack the minds suitable for academics,0,0,1,1,0,0,0,0,0,OFFN
these lil white twitter fags stay online all day and search for me to make new accounts and mass report me the jews have these white pussy totally brainwashed into hating there own race they talk about how much they love muslims and blacks crazy fucken world jews caused this,1,0,0,1,1,1,1,0,0,HATE
dog backwards is god muslimes do not have dogs therefore muslimes have no god,1,0,0,0,0,1,0,0,0,HATE
fucking retard,1,0,0,1,0,0,0,1,0,HATE
a playboy comes to a certain town and bewitches the women left and right,0,1,0,1,0,0,0,0,1,NOT
the labelling of other has a long history and us almost always a slide to internal or external war christian muslim ccommunist jew homosexual hutu tutsi serb simplistic labels do not help and the real trouble with brexit is that it has clarified which other we are,0,1,0,1,0,0,0,0,1,NOT
now of course the towelhead perps will be perps that the police had on their radar and did nothing about,1,0,0,1,1,0,0,0,0,HATE
white girls can not dance like ghetto whoes there fixed it,0,0,1,1,1,0,1,0,0,OFFN
weev talks about killing and raping white women talks about putting gook women over white women was this shooter apart of the anti white women mgtow stormer,1,0,0,1,1,0,0,0,0,HATE
twitter is celebrating this day called trans day of visibility it so stupid these men wearing dresses and make up are trying to call themselves women and these women wearing jeans and tank tops are trying to call themselves men,0,0,1,1,0,0,0,1,0,OFFN
a face that deliberately needs bitch slapping,0,0,1,1,0,0,0,0,1,OFFN
do you mean palette you utter hillbilly,0,0,1,0,0,0,0,0,0,OFFN
bank islam,0,1,0,0,0,1,0,0,0,NOT
if i see a single redneck murican say finlanf has gn control yet this happened i swear i am going to go s them my damn self,0,0,1,1,0,0,0,0,0,OFFN
this is great though the story photo of my sophomore year dorm room felt a little too on the nose,0,1,0,1,0,0,0,0,1,NOT
never had a car full of asians threaten to murder me over a minor traffic incident caused by their failure to understand the basic rules of the road,0,0,1,1,1,0,0,0,0,OFFN
maybe it a sign from god that anglin really is a nigger,1,0,0,1,1,0,0,0,0,HATE
lol snow nigger is salty as fuck meanwhile hindus are richer than alt right cucks therefore paying more in tax rates so are the jews,1,0,0,1,1,0,0,0,0,HATE
there are just women and men male and female there is no gender spectrum the ones that claim they are such and such are just in need of help i e psychiatric the only ones i accept other than male and female are gay and even then some dabble in this,0,0,1,1,0,0,1,0,0,OFFN
the women of my grammas generation were pretty cool too my gramma punched a pregnant spic in the belly at a motley crew show in the,0,0,1,1,1,0,0,0,0,OFFN
wrong for not throwing the arabs out earlier like and take har habayit fully no one would have blinked israel here to stay,0,0,1,0,1,0,0,0,0,OFFN
when cities start telling their police officers not to charge illegal immigrants with non violent crimes because they may get deported your country is lost,0,1,0,1,0,0,0,1,0,NOT
lmao faggot fell lmao fuck the white boys,1,0,0,1,0,0,1,0,0,HATE
dear british cops stop licking sand nigger a holes start protecting people if you traitorous cucks will not do anything for little white girls gang raped by pakis what would you do for a puff attacked by sand niggers,1,0,0,1,1,1,0,0,0,HATE
if the greeks from years ago could see the olympics now they d throw up it all about more msm promotion of gays blacks and those who hate whitey back then it was a statement of see do not mess with my country we will f you up,1,0,0,1,1,0,1,0,0,HATE
giving dis hoe back to da streets,0,0,1,1,0,0,1,0,0,OFFN
your target is here go get these filthy shit skin moslem terrorists,1,0,0,1,0,1,0,0,0,HATE
if the hoe want to hoe then let it go,0,1,0,1,0,0,0,0,1,NOT
i made my parents watch queer eye and now they are obsessed gays my job here is done,0,1,0,1,0,0,0,0,1,NOT
active duty demographics august army white navy white marine corps white air force white dear sjw assorted lefties you probably should not have decided that straight white males were humanity mortal enemies good luck with that military coup wet dream though,0,1,0,1,0,0,1,0,0,NOT
man you are retarded,0,0,1,1,0,0,0,1,0,OFFN
you got that right they are no longer god chosen people as of yrs ago if you are a sand nigger we do not want you,1,0,0,1,1,1,0,0,0,HATE
nope but why post something homophobes will love self hating gays are very unhappy people,0,1,0,1,0,0,1,0,0,NOT
yes moar fat sheboons telling us all what to do did not we get enough of this from yrs of oprah,1,0,0,1,1,0,1,0,0,HATE
just like japanese chinese and the real asians hijacked asia and the right to be called actual asians therefore you can not claim asian unless yo eyes are slanted naturally pow w l gg no re,0,1,0,1,1,0,0,0,0,NOT
cowardly actions by the pussy brits men let their women be gangraped by moslim animals should change countrys name to cuckland,1,0,0,1,0,1,0,0,0,HATE
yep they are borderline retarded,0,0,1,1,0,0,0,0,1,OFFN
black friends go do some more drugs with your nigger buddies you brain dead degenerate,1,0,0,1,1,0,0,0,0,HATE
israel wants syria for itself and the rest of the damned sinai too that what this goddamn jewish war we have been fighting since is all about displacing arabs to europe and america so the cunting kikes can steal more land for israel,1,0,0,1,0,1,0,0,0,HATE
i absolutely hate working with people who complain and bitch about everything if you do not want to work then quit already lol,0,1,0,1,0,0,0,0,1,NOT
but there are illegal aliens so f ny,0,0,1,0,0,0,0,1,0,OFFN
the only problem i see right now with this is the robot is white so even if you do grant it rights some ghetto niggas are going to come along and kidnap it because it white and mostly like supported donald j trump for president,0,0,1,1,1,0,0,0,0,OFFN
add another four days for grapetooth,0,1,0,1,0,0,0,0,1,NOT
muz listens to his her sheikhs worthless personal opinions about islam and assumes he she knows everything about islam you criticize islam also muz have you read the quran have you read it in arabic have you read it in ancient quraishi dialect,0,1,0,1,0,1,0,0,0,NOT
plenty of kike christians like pelosi worry about your own kikes dumb pussy,1,0,0,1,0,1,0,0,0,HATE
sweetie like i said look in the mirror you might want to refrain from posting yours it not a good look even for trailer trash poor plump thing,0,0,1,0,1,0,0,1,0,OFFN
because the sheboon wants violence so race jealous can not control violent impulses,0,0,1,0,1,0,0,0,0,OFFN
is it we are a global minority we already have a single mother gibs state that institutionalized cuckoldry why should they waste more resources on non whites wife up a white girl take care of your white kids this is not that difficult,1,0,0,1,0,0,0,0,0,HATE
so many followers and nothing to say just remember niggers suck jewboys suck baby dick and faggots suck anything they can,1,0,0,1,1,1,1,0,0,HATE
that criminal mlk jr being arrested outside a courtroom in should have locked the nigger criminal up for life nearly year later you see the anti white american bastard has caused,1,0,0,1,1,0,0,0,0,HATE
cus you all some faggots,0,0,1,1,0,0,1,0,0,OFFN
new orleans already got a reputation for violence you all want ppl to attack the tourists now,0,1,0,0,0,0,0,0,1,NOT
this is a really interesting excerpt from planet faggot but back on the real world it pretty obvious you are a kike shill trying to pilpul your way out of humiliation very talmudic of you bro check with your local rabbis for help to avoid this beatdown next time,1,0,0,1,0,1,0,0,0,HATE
you are part of a growing segment in society of women having that same struggle i believe jordan peterson explains the dynamic quite well i find today dating climate obnoxious and annoying so many fake people but that is a different problem altogether lol,0,1,0,0,0,0,0,0,1,NOT
war queer,0,1,0,1,0,0,0,0,1,NOT
indeed but un article gives india right to decide it own way to accept or decline the refugees reason india already have billion people and its developing state and also non signatories member of un refugee treaty,0,1,0,0,0,0,0,0,1,NOT
a bitch want friends,0,0,1,1,0,0,0,0,1,OFFN
when that white rapper called chelsea handler high class white trash chelsea and i both said yeah that sounds right at the same time,0,1,0,1,0,0,0,0,1,NOT
so muslim is back killing people with truck again islam the religion of peace etc,0,0,1,1,0,1,0,0,0,OFFN
color blue and white porcelain,0,1,0,0,0,0,0,0,1,NOT
male norwegian politician raped by asylum seeker says he feels guilty that his attacker will now be deported and might suffer back in somalia yes it true a torn rectum pales in comparison to a somalian dust storm,0,0,1,1,0,0,0,0,1,OFFN
the smarter white persians suffering the consequences their dumber fellows under islam ironically the average european white is being held down by their smarter fellows that are obsessed with virtue signaling and equality and their disdain for their own people,0,0,1,0,0,1,0,0,0,OFFN
a little ghetto but congrats,0,1,0,0,1,0,0,0,0,NOT
daniel boone was a man he was a big man but i was bigger so he ran like a nigger up a tree,0,0,1,1,1,0,0,0,0,OFFN
then you are retarded which is kind of true,0,1,0,1,0,0,0,0,1,NOT
i kept twitching with every single time he virtue signaled about the immigrants and refugees tearing down the middle aged white male,0,1,0,1,0,0,0,1,0,NOT
agusta main or texes which state you live in tossa people want to catch up with you are you scared little nigger or what,1,0,0,1,1,0,0,0,0,HATE
he spelled prophet as profit lol you are talking to a kike bro,1,0,0,1,0,0,0,0,0,HATE
it the typical leftist play call right wing hate speech out even if the person is only speaking pure facts but allow minority and mentally ill people to call for and actually plot violence against the right and say those people have free speech they are criminals,0,0,1,1,0,0,0,1,0,OFFN
it maddening to watch this happen i am definitely a leftist and to watch two men who certainly are not rightwing be painted as nazi sympathizers by other leftists because they are white and made comic book movies that are not light and happy is just sad,0,1,0,1,0,0,0,0,1,NOT
i stand with brianna brochu because being forced to live with some loud affirmative action sheboon will make even the best of us do crazy things university of hartford justice for jazzy,1,0,0,1,1,0,0,0,0,HATE
stumptown is a shit show the writers are retarded the story is boring it is a total waste of its fantastic cast,0,0,1,1,0,0,0,1,0,OFFN
the muzzies and black churches have always been given a pass this primarily helps conservative churches that have been silent on political issues out of fear of losing their c3 status,1,0,0,1,0,1,0,0,0,HATE
amber guyer this shot a man in his own place bitch got what she deserved justice for botham jean,0,0,1,1,0,0,1,0,0,OFFN
i know i can not believe he can get away with this traitor selling nukes to his moslem brothers,0,1,0,0,0,0,0,0,1,NOT
it not safe for muzzies lee lee deus vult,1,0,0,0,0,1,0,0,0,HATE
if our earth is our mother she a dirty bitch of a mother slavoj zizek,0,1,0,1,0,0,0,0,1,NOT
we must secure the existence of vape pens and a future for white vape clouds,0,1,0,0,0,0,0,0,1,NOT
how was uri i heard it was filled with hyper toxic nationalism and burned jihadis and lefties ass,0,0,1,1,0,1,0,0,0,OFFN
hm yea ask that nigger kaepernicks about his white upbringing and the love theory a nigger is a nigger that it stop justifying white guilt,1,0,0,1,1,0,0,0,0,HATE
i can t wait to be in a relationship that makes people constantly think to themselves why tf she with that ugly ass nigga,0,0,1,1,1,0,0,0,0,OFFN
this ghetto bitch just sat behind me i hate it here,0,0,1,1,0,0,0,0,0,OFFN
just remember that the bitch commie girlies and their low iq muds are going to slink beneath the shield of the cuckservatives and alt lite when their independent operation folds like a congolese coup then we will have our civil war with someone who can fight,0,0,1,1,1,0,1,0,0,OFFN
what is this stupid emoji it so retarded,0,0,1,1,0,0,0,0,1,OFFN
he will say it not his fault and be secretly proud of what he done at the same time typical of white supremacists the holocaust,0,1,0,1,0,0,0,0,1,NOT
rt if you hate yourself ps i hate you too,0,0,1,0,0,0,0,0,1,OFFN
